PC=00000100, [00500137], x02=00500000, x00=00000000, x05=00000000 lui      sp, 1280
PC=00000104, [010000ef], x01=00000108, x00=00000000, x16=00000000 jal      ra, 16
PC=00000114, [fc010113], x02=004fffc0, x02=00500000, x00=00000000 addi     sp, sp, -64
PC=00000118, [02812e23], x28=00000000, x02=004fffc0, x08=00000000 sw       s0, 60(sp)
PC=0000011c, [04010413], x08=00500000, x02=004fffc0, x00=00000000 addi     s0, sp, 64
PC=00000120, [00000793], x15=00000000, x00=00000000, x00=00000000 addi     a5, zero, 0
PC=00000124, [00000813], x16=00000000, x00=00000000, x00=00000000 addi     a6, zero, 0
PC=00000128, [fef42423], x08=00500000, x08=00500000, x15=00000000 sw       a5, -24(s0)
PC=0000012c, [ff042623], x12=00000000, x08=00500000, x16=00000000 sw       a6, -20(s0)
PC=00000130, [fe0403a3], x07=00000000, x08=00500000, x00=00000000 sb       zero, -25(s0)
PC=00000134, [0400006f], x00=00000000, x00=00000000, x00=00000000 jal      zero, 64
PC=00000174, [fe744703], x14=00000000, x08=00500000, x07=00000000 lbu      a4, s0, -25
PC=00000178, [00400793], x15=00000004, x00=00000000, x04=00000000 addi     a5, zero, 4
PC=0000017c, [fae7fee3], x29=00000000, x15=00000004, x14=00000000 bgeu     a5, a4, -68
PC=00000138, [fe842603], x12=00000000, x08=00500000, x08=00500000 lw       a2, s0, -24
PC=0000013c, [fec42683], x13=00000000, x08=00500000, x12=00000000 lw       a3, s0, -20
PC=00000140, [00100513], x10=00000001, x00=00000000, x01=00000108 addi     a0, zero, 1
PC=00000144, [00000593], x11=00000000, x00=00000000, x00=00000000 addi     a1, zero, 0
PC=00000148, [00a60733], x14=00000001, x12=00000000, x10=00000001 add      a4, a2, a0
PC=0000014c, [00070813], x16=00000001, x14=00000001, x00=00000000 addi     a6, a4, 0
PC=00000150, [00c83833], x16=00000000, x16=00000001, x12=00000000 sltu     a6, a6, a2
PC=00000154, [00b687b3], x15=00000000, x13=00000000, x11=00000000 add      a5, a3, a1
PC=00000158, [00f806b3], x13=00000000, x16=00000000, x15=00000000 add      a3, a6, a5
PC=0000015c, [00068793], x15=00000000, x13=00000000, x00=00000000 addi     a5, a3, 0
PC=00000160, [fee42423], x08=00500000, x08=00500000, x14=00000001 sw       a4, -24(s0)
PC=00000164, [fef42623], x12=00000000, x08=00500000, x15=00000000 sw       a5, -20(s0)
PC=00000168, [fe744783], x15=00000000, x08=00500000, x07=00000000 lbu      a5, s0, -25
PC=0000016c, [00178793], x15=00000001, x15=00000000, x01=00000108 addi     a5, a5, 1
PC=00000170, [fef403a3], x07=00000000, x08=00500000, x15=00000001 sb       a5, -25(s0)
PC=00000174, [fe744703], x14=00000001, x08=00500000, x07=00000000 lbu      a4, s0, -25
PC=00000178, [00400793], x15=00000004, x00=00000000, x04=00000000 addi     a5, zero, 4
PC=0000017c, [fae7fee3], x29=00000000, x15=00000004, x14=00000001 bgeu     a5, a4, -68
PC=00000138, [fe842603], x12=00000001, x08=00500000, x08=00500000 lw       a2, s0, -24
PC=0000013c, [fec42683], x13=00000000, x08=00500000, x12=00000001 lw       a3, s0, -20
PC=00000140, [00100513], x10=00000001, x00=00000000, x01=00000108 addi     a0, zero, 1
PC=00000144, [00000593], x11=00000000, x00=00000000, x00=00000000 addi     a1, zero, 0
PC=00000148, [00a60733], x14=00000002, x12=00000001, x10=00000001 add      a4, a2, a0
PC=0000014c, [00070813], x16=00000002, x14=00000002, x00=00000000 addi     a6, a4, 0
PC=00000150, [00c83833], x16=00000000, x16=00000002, x12=00000001 sltu     a6, a6, a2
PC=00000154, [00b687b3], x15=00000000, x13=00000000, x11=00000000 add      a5, a3, a1
PC=00000158, [00f806b3], x13=00000000, x16=00000000, x15=00000000 add      a3, a6, a5
PC=0000015c, [00068793], x15=00000000, x13=00000000, x00=00000000 addi     a5, a3, 0
PC=00000160, [fee42423], x08=00500000, x08=00500000, x14=00000002 sw       a4, -24(s0)
PC=00000164, [fef42623], x12=00000001, x08=00500000, x15=00000000 sw       a5, -20(s0)
PC=00000168, [fe744783], x15=00000001, x08=00500000, x07=00000000 lbu      a5, s0, -25
PC=0000016c, [00178793], x15=00000002, x15=00000001, x01=00000108 addi     a5, a5, 1
PC=00000170, [fef403a3], x07=00000000, x08=00500000, x15=00000002 sb       a5, -25(s0)
PC=00000174, [fe744703], x14=00000002, x08=00500000, x07=00000000 lbu      a4, s0, -25
PC=00000178, [00400793], x15=00000004, x00=00000000, x04=00000000 addi     a5, zero, 4
PC=0000017c, [fae7fee3], x29=00000000, x15=00000004, x14=00000002 bgeu     a5, a4, -68
PC=00000138, [fe842603], x12=00000002, x08=00500000, x08=00500000 lw       a2, s0, -24
PC=0000013c, [fec42683], x13=00000000, x08=00500000, x12=00000002 lw       a3, s0, -20
PC=00000140, [00100513], x10=00000001, x00=00000000, x01=00000108 addi     a0, zero, 1
PC=00000144, [00000593], x11=00000000, x00=00000000, x00=00000000 addi     a1, zero, 0
PC=00000148, [00a60733], x14=00000003, x12=00000002, x10=00000001 add      a4, a2, a0
PC=0000014c, [00070813], x16=00000003, x14=00000003, x00=00000000 addi     a6, a4, 0
PC=00000150, [00c83833], x16=00000000, x16=00000003, x12=00000002 sltu     a6, a6, a2
PC=00000154, [00b687b3], x15=00000000, x13=00000000, x11=00000000 add      a5, a3, a1
PC=00000158, [00f806b3], x13=00000000, x16=00000000, x15=00000000 add      a3, a6, a5
PC=0000015c, [00068793], x15=00000000, x13=00000000, x00=00000000 addi     a5, a3, 0
PC=00000160, [fee42423], x08=00500000, x08=00500000, x14=00000003 sw       a4, -24(s0)
PC=00000164, [fef42623], x12=00000002, x08=00500000, x15=00000000 sw       a5, -20(s0)
PC=00000168, [fe744783], x15=00000002, x08=00500000, x07=00000000 lbu      a5, s0, -25
PC=0000016c, [00178793], x15=00000003, x15=00000002, x01=00000108 addi     a5, a5, 1
PC=00000170, [fef403a3], x07=00000000, x08=00500000, x15=00000003 sb       a5, -25(s0)
PC=00000174, [fe744703], x14=00000003, x08=00500000, x07=00000000 lbu      a4, s0, -25
PC=00000178, [00400793], x15=00000004, x00=00000000, x04=00000000 addi     a5, zero, 4
PC=0000017c, [fae7fee3], x29=00000000, x15=00000004, x14=00000003 bgeu     a5, a4, -68
PC=00000138, [fe842603], x12=00000003, x08=00500000, x08=00500000 lw       a2, s0, -24
PC=0000013c, [fec42683], x13=00000000, x08=00500000, x12=00000003 lw       a3, s0, -20
PC=00000140, [00100513], x10=00000001, x00=00000000, x01=00000108 addi     a0, zero, 1
PC=00000144, [00000593], x11=00000000, x00=00000000, x00=00000000 addi     a1, zero, 0
PC=00000148, [00a60733], x14=00000004, x12=00000003, x10=00000001 add      a4, a2, a0
PC=0000014c, [00070813], x16=00000004, x14=00000004, x00=00000000 addi     a6, a4, 0
PC=00000150, [00c83833], x16=00000000, x16=00000004, x12=00000003 sltu     a6, a6, a2
PC=00000154, [00b687b3], x15=00000000, x13=00000000, x11=00000000 add      a5, a3, a1
PC=00000158, [00f806b3], x13=00000000, x16=00000000, x15=00000000 add      a3, a6, a5
PC=0000015c, [00068793], x15=00000000, x13=00000000, x00=00000000 addi     a5, a3, 0
PC=00000160, [fee42423], x08=00500000, x08=00500000, x14=00000004 sw       a4, -24(s0)
PC=00000164, [fef42623], x12=00000003, x08=00500000, x15=00000000 sw       a5, -20(s0)
PC=00000168, [fe744783], x15=00000003, x08=00500000, x07=00000000 lbu      a5, s0, -25
PC=0000016c, [00178793], x15=00000004, x15=00000003, x01=00000108 addi     a5, a5, 1
PC=00000170, [fef403a3], x07=00000000, x08=00500000, x15=00000004 sb       a5, -25(s0)
PC=00000174, [fe744703], x14=00000004, x08=00500000, x07=00000000 lbu      a4, s0, -25
PC=00000178, [00400793], x15=00000004, x00=00000000, x04=00000000 addi     a5, zero, 4
PC=0000017c, [fae7fee3], x29=00000000, x15=00000004, x14=00000004 bgeu     a5, a4, -68
PC=00000138, [fe842603], x12=00000004, x08=00500000, x08=00500000 lw       a2, s0, -24
PC=0000013c, [fec42683], x13=00000000, x08=00500000, x12=00000004 lw       a3, s0, -20
PC=00000140, [00100513], x10=00000001, x00=00000000, x01=00000108 addi     a0, zero, 1
PC=00000144, [00000593], x11=00000000, x00=00000000, x00=00000000 addi     a1, zero, 0
PC=00000148, [00a60733], x14=00000005, x12=00000004, x10=00000001 add      a4, a2, a0
PC=0000014c, [00070813], x16=00000005, x14=00000005, x00=00000000 addi     a6, a4, 0
PC=00000150, [00c83833], x16=00000000, x16=00000005, x12=00000004 sltu     a6, a6, a2
PC=00000154, [00b687b3], x15=00000000, x13=00000000, x11=00000000 add      a5, a3, a1
